*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 11:48:25:655769,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:656904,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:657392,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:708376,Robot Hand Pose: ,"x: 0.194269552827
y: 0.0743410140276
z: 0.226726278663
x: 0.0198357589543
y: 0.429975032806
z: -0.175712794065
w: 1.0"
2017-11-29 11:48:25:708772,Current Word:,\rspd=75\ came
2017-11-29 11:48:25:756104,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:757304,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:757602,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:812049,Robot State:,0.1
2017-11-29 11:48:25:855885,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:856269,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:856619,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:25:956757,Detected ARTags: ,"32, 33"
2017-11-29 11:48:25:957531,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:25:957905,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:26:157321,Detected ARTags: ,"32, 33"
2017-11-29 11:48:26:158068,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:26:158452,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:26:258481,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:26:257922,Detected ARTags: ,"32, 33"
2017-11-29 11:48:26:258857,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:26:355719,Detected ARTags: ,"32, 33"
2017-11-29 11:48:26:356466,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:26:356709,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:26:456376,Detected ARTags: ,"32, 33"
2017-11-29 11:48:26:456835,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:26:457079,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:27:194609,Robot Hand Pose: ,"x: 0.190931886435
y: 0.0629573017359
z: 0.222774237394
x: 0.0212060865015
y: 0.447791993618
z: -0.238130003214
w: 1.0"
2017-11-29 11:48:27:195742,Current Word:,\rspd=75\ to
2017-11-29 11:48:27:298670,Robot State:,0.1
2017-11-29 11:48:27:355197,Detected ARTags: ,"32, 33"
2017-11-29 11:48:27:356722,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:27:356555,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:27:557491,Detected ARTags: ,"32, 33"
2017-11-29 11:48:27:558642,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:27:558320,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:27:657217,Detected ARTags: ,"32, 33"
2017-11-29 11:48:27:657914,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:27:658188,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:27:756163,Detected ARTags: ,"32, 33"
2017-11-29 11:48:27:756910,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:27:757051,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:27:858348,Detected ARTags: ,"32, 33"
