*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:23:817830,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:23:915298,Detected ARTags: ,"30, 31"
2017-12-04 16:28:23:915872,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:23:916004,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:015067,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:015454,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:015824,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:116207,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:115677,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:116564,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:207553,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:208018,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:208170,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:303543,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:303715,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:303955,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:403603,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:403758,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:403858,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:503323,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:503659,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:503800,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:614183,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:615218,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:615695,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:714592,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:716041,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:716220,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:815331,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:815651,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:24:816036,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:24:910022,Detected ARTags: ,"30, 31"
2017-12-04 16:28:24:910152,Current State of Reading: ,Waiting for Red-card
